uasg,num_licitacao
153038,162016
153040,32019
153040,402018
153040,492010
153045,52019
153045,142014
153045,212010
153045,272007
153045,552010
153045,1582014
153045,1652015
153045,3042011
153046,52020
153046,72017
153046,152008
153046,242012
153046,282016
153046,752010
153046,1072006
153046,1382007
153046,1702007
153046,1832008
153047,222016
153047,452009
153047,762008
153047,1342011
153047,1482016
153047,1722008
153047,1722013
153049,10022017
153052,362013
153052,502007
153052,992008
153052,1422012
153052,1602006
153052,1752014
153052,1822008
153052,1942008
153052,2112008
153052,3532009
153052,3722011
153054,42007
153054,142016
153054,1252009
153054,1352017
153054,1472018
153054,2072014
153056,182013
153056,272007
153056,272011
153056,662012
153056,782014
153057,182013
153057,602010
153057,642010
153057,752017
153057,832016
153058,462017
153058,472017
153061,372018
153061,592013
153061,672014
153061,1692017
153061,1702008
153063,322009
153063,702013
153065,362010
153065,522012
153065,822010
153068,22013
153071,152008
153074,52013
153079,12010
153079,42019
153079,422014
153079,602021
153079,1042011
153079,1292006
153079,1502017
153079,1732018
153080,132012
153080,592006
153080,812011
153080,982010
153080,1122016
153080,1552018
153080,2332007
153103,132007
153103,452018
153114,52007
153114,322018
153114,602016
153114,612018
153114,762010
153114,942018
153114,1442008
153114,1442011
153114,2042011
153115,362013
153146,12007
153152,192019
153163,142010
153163,182020
153163,482010
153163,762008
153163,2152019
153163,2342010
153163,2702017
153163,3652017
153163,3972009
153164,302008
153164,782020
153164,842010
153164,1452018
153164,1662013
153164,1832015
153164,2212015
153164,2582006
153164,2652014
153165,322013
153165,392007
153166,52009
153166,112010
153166,432011
153166,602009
153167,112017
153167,332008
153173,322012
153174,402006
153176,62009
153176,212019
153177,222017
153178,42009
153178,252016
153178,372013
153178,422014
153194,362006
153195,272006
153208,512008
153210,192009
153213,172009
153214,192008
153217,132009
153219,262009
153221,342009
153223,172008
153223,582007
153223,692008
153223,812007
153226,712009
153230,332009
153232,132011
153237,82007
153237,122007
153248,122009
153251,382012
153260,12017
153261,22013
153261,92006
153261,152014
153261,212007
153261,402008
153261,592012
153261,902011
153261,972013
153261,1062010
153265,22008
153267,92016
153276,52012
153276,1522007
153280,62008
153280,72008
153295,22011
153295,32012
153808,92012
153808,482015
153808,572019
153808,642018
153808,762016
153808,812014
153808,1012016
153808,1242014
153991,122007
153991,342013
154032,122010
154032,232015
154034,302008
154035,10022019
154035,10302019
154039,22007
154039,342010
154039,832009
154039,4512012
154040,12018
154040,192018
154041,52014
154041,1192008
154041,1432009
154041,1532007
154042,92020
154042,1872012
154043,232010
154043,302016
154043,752007
154043,1072013
154043,1362010
154043,1472007
154043,1682011
154043,1872009
154043,2172014
154043,2182013
154043,2612008
154043,3572012
154043,4292012
154044,132015
154045,62007
154045,182019
154045,412007
154045,632012
154045,2292007
154046,192014
154046,522016
154046,612018
154046,752009
154046,812012
154046,972012
154046,1662011
154046,1792012
154046,2032013
154047,162016
154047,172013
154047,422015
154047,672019
154047,752019
154049,592012
154049,622017
154049,672008
154049,762007
154049,3392014
154049,3972013
154049,4422013
154050,22008
154050,102013
154050,452015
154050,542014
154050,1142016
154050,1432013
154050,1722010
154051,62011
154051,342016
154051,882015
154051,1022017
154051,1182016
154051,1702019
154051,1762016
154051,1782012
154051,1952007
154051,2222018
154051,2552013
154051,3312013
154051,4772014
154051,4822011
154052,302013
154052,362018
154052,1022015
154052,3482012
154052,4512013
154054,362018
154054,1572012
154054,1872012
154055,62019
154069,192010
154069,622015
154069,722011
154070,202011
154070,522008
154070,612014
154070,652008
154070,682009
154070,782010
154070,832008
154070,1242017
154072,532010
154072,1082008
154072,2672010
154080,272007
154106,1232005
154177,42011
154177,402010
154215,262006
154358,52011
154358,232020
154358,502016
154358,982009
154358,1382013
154359,182016
154359,722018
154359,732018
154359,792011
154421,172015
154421,442010
154421,562010
154421,652015
154502,172018
154502,342009
154502,342015
154502,462012
154502,562007
154502,612007
154503,342008
154503,1862010
154810,52014
155008,22016
155008,82018
155008,712021
155008,742018
155008,872020
155008,902020
155009,1422015
155010,462018
155010,642020
155010,1962016
155013,382018
155017,322016
155017,382016
155017,1022018
155018,202020
155020,302021
155021,92020
155021,542020
155022,1352020
155022,1402020
155124,142016
155124,432018
155124,982017
155125,272016
155125,772015
155126,162020
155126,292020
155230,22019
155884,42018
155891,122018
155900,222017
155902,1002020
155903,522017
155904,862020
155908,252020
155911,10542020
155913,462020
155914,132020
158009,262014
158009,582014
158092,32010
158092,82013
158092,572014
158092,582010
158099,262013
158121,152021
158121,162020
158122,12014
158122,1262010
158122,2802013
158124,82021
158126,22010
158126,362013
158126,832014
158129,12020
158131,212016
158132,112012
158134,192014
158138,32015
158139,82020
158139,752014
158139,1862014
158143,132010
158143,192014
158143,202011
158143,312013
158146,42017
158146,192014
158147,152011
158147,222016
158149,72020
158152,362012
158154,242018
158154,882020
158154,1382011
158155,22019
158155,112015
158155,172018
158157,22017
158157,32015
158157,122019
158172,92012
158172,142017
158191,32007
158191,212009
158195,582009
158195,802007
158196,172018
158196,272012
158196,942015
158198,132009
158266,72018
158267,212010
158270,52702016
158270,82702015
158274,12020
158277,322017
158277,482010
158279,12020
158296,12016
158299,12013
158302,162017
158307,22012
158308,92014
158310,292014
158311,302014
158312,342016
158320,102012
158325,102017
158330,23302015
158333,22016
158333,102011
158341,122012
158344,392013
158350,232012
158350,512012
158357,12012
158359,52019
158377,582015
158378,362011
158380,62017
158383,12021
158393,72010
158394,12011
158401,612010
158401,722010
158409,72013
158417,12014
158417,92010
158420,42014
158420,52013
158424,82018
158424,172010
158430,132013
158435,162012
158437,52018
158442,92015
158442,162012
158443,612012
158459,32011
158459,92016
158460,72013
158460,152018
158461,232011
158461,272017
158462,62011
158476,132019
158477,142013
158478,222010
158481,112011
158484,42016
158488,72010
158515,112017
158515,282012
158516,292016
158516,402014
158516,612018
158516,922016
158520,1472013
158561,12015
158582,205822018
158583,135832017
158658,22017
158718,82019
158718,252020
158718,292015
159001,42019
160001,62014
160002,62009
160002,232006
160002,372007
160003,12015
160004,72019
160004,102007
160007,62011
160011,122015
160012,42015
160013,182011
160014,32008
160014,82017
160015,32014
160017,82012
160020,202009
160021,52013
160022,162016
160026,312008
160027,12007
160027,202010
160027,312017
160027,322020
160045,62021
160046,12011
160047,162011
160049,102015
160050,62010
160050,82014
160051,12007
160052,62015
160056,52008
160060,32011
160065,62019
160066,182012
160067,162010
160070,72014
160072,32010
160078,62011
160078,222009
160079,82020
160086,92014
160086,272009
160090,32015
160090,122016
160091,112016
160091,192011
160098,42007
160098,132017
160098,172015
160103,72012
160105,92019
160105,282013
160106,72008
160106,312017
160106,362017
160111,82008
160118,232020
160118,282008
160120,22015
160121,162014
160122,62008
160126,72016
160127,112013
160129,572008
160130,132021
160132,22009
160133,62012
160134,12010
160134,202019
160136,72020
160139,42012
160139,152013
160143,122020
160143,512021
160147,72016
160151,12019
160155,332019
160156,22014
160157,102009
160157,242012
160157,592007
160160,22013
160161,72019
160163,72018
160169,22017
160171,642012
160176,222008
160177,312008
160179,32006
160193,42009
160195,202011
160199,262012
160199,422016
160199,462015
160202,232011
160204,22009
160204,152019
160211,42011
160217,42013
160219,172007
160222,82011
160223,312009
160227,122009
160228,122016
160229,92013
160229,172019
160230,52019
160232,42015
160236,52013
160237,262020
160238,12014
160240,32009
160245,22013
160250,82017
160253,22021
160255,92017
160279,92012
160285,222019
160285,232020
160285,672013
160290,42007
160291,982012
160318,720132013
160322,822018
160339,192010
160339,472006
160341,12011
160345,32012
160345,72012
160348,22017
160348,42019
160348,172009
160348,192016
160348,322009
160348,482010
160349,42018
160349,152015
160349,322014
160352,22018
160352,102014
160353,232007
160359,42012
160359,222013
160361,12019
160361,72016
160362,172012
160367,132018
160368,32019
160369,92008
160372,172020
160379,182019
160380,62013
160384,142013
160385,112008
160388,112008
160392,372007
160392,482013
160392,632007
160395,72014
160395,112013
160395,412014
160395,532013
160399,232015
160399,282012
160399,302009
160399,432015
160399,502012
160407,32019
160409,72008
160413,12009
160413,202019
160413,322014
160413,492014
160416,92017
160416,272013
160418,142016
